,county,state,Lon,Lat
2061,Giles,Tennessee,-87.0296239,35.2178285
2062,Lawrence,Tennessee,-88.7906131,35.6486823
2063,Marshall,Tennessee,-82.66099,36.5728768
2064,Warren,Tennessee,-89.442852,35.2384198
2065,Wayne,Tennessee,-87.8084373,35.2499093
2066,Hill,Texas,-97.0881654,31.9595085
2067,Leon,Texas,-95.9953382,31.2715127
2068,Moore,Texas,-101.9104355,35.8156121
2069,Wise,Texas,-97.6563925,33.2139213
2070,Henry,Virginia,-79.4211605,39.2231623
2071,King William,Virginia,-77.0135874,37.687363
2072,Petersburg city,Virginia,-77.4019268,37.227928
2073,Smyth,Virginia,-81.5418453,36.8440149
2074,Randolph,West Virginia,-79.872531,38.8085998
2075,Roane,West Virginia,-81.3366149,38.6943369
2076,Door,Wisconsin,-87.5329747,44.7615925
2077,Jackson,Wisconsin,-88.1667599,43.3238919
2078,Marquette,Wisconsin,-89.3608694,43.0851488
2079,Miller,Arkansas,-93.9214795,33.2766729
2080,Scott,Arkansas,-94.0431714,34.8469384
2081,Plumas,California,-120.8059521,39.9430988
2082,Lake,Colorado,-106.342801,39.2056525
2083,Saguache,Colorado,-106.3563372,38.0945348
2084,Calhoun,Florida,-85.2223516,30.3853734
2085,Union,Florida,-82.3954479,30.044304
2086,Emanuel,Georgia,-82.2922815,32.6078163
2087,Grady,Georgia,-84.2322943,30.867067
2088,Oglethorpe,Georgia,-84.0610191,32.293769
2089,Rabun,Georgia,-83.4251357,34.8796123
2090,Screven,Georgia,-82.0167321,31.4864151
2091,Stewart,Georgia,-83.8521266,33.4220634
2092,Walker,Georgia,-84.3149103,31.5404516
2093,Webster,Georgia,-84.5473105,32.050618
2094,Wilcox,Georgia,-83.4379708,31.960784
2095,Wilkinson,Georgia,-83.1623561,32.7924994
2096,Adams,Idaho,-116.4572399,44.8677448
2097,Camas,Idaho,-114.8070143,43.4064019
2098,Ford,Illinois,-88.2552987,40.4980955
2099,Ogle,Illinois,-89.3138599,42.0397014
2100,Cass,Indiana,-87.2786267,39.0869874
2101,Jefferson,Indiana,-86.5900034,40.2794807
2102,Clay,Iowa,-95.1407762,43.0809373
2103,Barton,Kansas,-98.776234,38.4683432
2104,Chautauqua,Kansas,-96.2656966,37.146335
2105,Labette,Kansas,-95.3103729,37.1899712
2106,Barren,Kentucky,-85.925817,36.9584649
2107,Edmonson,Kentucky,-86.2206738,37.1999181
2108,Graves,Kentucky,-88.6569094,36.7244966
2109,Hancock,Kentucky,-86.7532261,37.8189002
2110,Henry,Kentucky,-85.1191168,38.447983
2111,Lawrence,Kentucky,-82.7316588,38.0601807
2112,Powell,Kentucky,-83.8239902,37.8192526
2113,Rockcastle,Kentucky,-87.9872444,36.8997741
2114,Russell,Kentucky,-82.6976631,38.5173028
2115,Concordia,Louisiana,-91.544921,31.722133
2116,St. Helena,Louisiana,-90.6932182,30.8080103
2117,Arenac,Michigan,-83.8718694,44.0608193
2118,Branch,Michigan,-85.0649374,41.916753
2119,Oscoda,Michigan,-84.1467693,44.6789109
2120,Brown,Minnesota,-94.6955051,44.2350232
2121,Carlton,Minnesota,-92.7206334,46.5799933
2122,Lyon,Minnesota,-95.8287296,44.3880733
2123,Traverse,Minnesota,-96.4215265,45.7836323
2124,Tishomingo,Mississippi,-88.2317103,34.6367608
2125,Harrison,Missouri,-93.9845199,40.337172
2126,Ste. Genevieve,Missouri,-90.1856637,37.88958
2127,Liberty,Montana,-111.0465825,48.5608235
2128,Musselshell,Montana,-108.4473635,46.4728903
2129,Unknown,Montana,-70.0260947,12.5582685
2130,Kimball,Nebraska,-103.6997645,41.1881305
2131,Seneca,New York,-77.07289052171726,42.83012645
2132,Anson,North Carolina,-80.0958187,34.9705848
2133,Clay,North Carolina,-78.5877789,36.2426458
2134,Martin,North Carolina,-79.651903,36.35125
2135,Rockingham,North Carolina,-79.7739457,34.9393201
2136,Wilkes,North Carolina,-81.1341351,36.1998247
2137,Grant,North Dakota,-101.6261837,46.3441037
2138,McKenzie,North Dakota,-103.4734684,47.7702536
